# BEGIN DATA
# Process=pp -> vv~j
# Proc=vvj
# Sqrt=13 TeV
# Unit=pb/GeV
# Timestamp=2019-05-03 18:52:10
# END DATA

# BEGIN HISTO1D vvj_pTV_LO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 1.432169e+00 6.807446e-03 6.807446e-03
4.000000e+01 5.000000e+01 1.441875e+00 6.847246e-03 6.847246e-03
5.000000e+01 6.000000e+01 1.486059e+00 6.875044e-03 6.875044e-03
6.000000e+01 7.000000e+01 1.478904e+00 6.957989e-03 6.957989e-03
7.000000e+01 8.000000e+01 1.489642e+00 7.000218e-03 7.000218e-03
8.000000e+01 9.000000e+01 1.494648e+00 7.200635e-03 7.200635e-03
9.000000e+01 1.000000e+02 1.522889e+00 7.155959e-03 7.155959e-03
1.000000e+02 1.100000e+02 1.528462e+00 7.258565e-03 7.258565e-03
1.100000e+02 1.200000e+02 1.537724e+00 7.265867e-03 7.265867e-03
1.200000e+02 1.300000e+02 1.556732e+00 7.568320e-03 7.568320e-03
1.300000e+02 1.400000e+02 1.544352e+00 7.496436e-03 7.496436e-03
1.400000e+02 1.500000e+02 1.570401e+00 7.452838e-03 7.452838e-03
1.500000e+02 2.000000e+02 1.575395e+00 3.070989e-03 3.070989e-03
2.000000e+02 2.500000e+02 1.591720e+00 3.367097e-03 3.367097e-03
2.500000e+02 3.000000e+02 1.603917e+00 3.194489e-03 3.194489e-03
3.000000e+02 3.500000e+02 1.613597e+00 3.128436e-03 3.128436e-03
3.500000e+02 4.000000e+02 1.616153e+00 3.311723e-03 3.311723e-03
4.000000e+02 4.500000e+02 1.626328e+00 3.173008e-03 3.173008e-03
4.500000e+02 5.000000e+02 1.629659e+00 3.306157e-03 3.306157e-03
5.000000e+02 5.500000e+02 1.621951e+00 3.229895e-03 3.229895e-03
5.500000e+02 6.000000e+02 1.628679e+00 2.931713e-03 2.931713e-03
6.000000e+02 6.500000e+02 1.631832e+00 2.955423e-03 2.955423e-03
6.500000e+02 7.000000e+02 1.629212e+00 3.187680e-03 3.187680e-03
7.000000e+02 7.500000e+02 1.636465e+00 3.261976e-03 3.261976e-03
7.500000e+02 8.000000e+02 1.641490e+00 3.313904e-03 3.313904e-03
8.000000e+02 8.500000e+02 1.639917e+00 3.422124e-03 3.422124e-03
8.500000e+02 9.000000e+02 1.642874e+00 3.424735e-03 3.424735e-03
9.000000e+02 9.500000e+02 1.644671e+00 3.709508e-03 3.709508e-03
9.500000e+02 1.000000e+03 1.654803e+00 3.909285e-03 3.909285e-03
1.000000e+03 1.100000e+03 1.661776e+00 2.700793e-03 2.700793e-03
1.100000e+03 1.200000e+03 1.658390e+00 2.880754e-03 2.880754e-03
1.200000e+03 1.300000e+03 1.673755e+00 3.220420e-03 3.220420e-03
1.300000e+03 1.400000e+03 1.681449e+00 3.520596e-03 3.520596e-03
1.400000e+03 1.600000e+03 1.701373e+00 2.733288e-03 2.733288e-03
1.600000e+03 1.800000e+03 1.717202e+00 3.212511e-03 3.212511e-03
1.800000e+03 2.000000e+03 1.740535e+00 3.789240e-03 3.789240e-03
2.000000e+03 2.200000e+03 1.767444e+00 4.223797e-03 4.223797e-03
2.200000e+03 2.400000e+03 1.788544e+00 4.598830e-03 4.598830e-03
2.400000e+03 2.600000e+03 1.811638e+00 5.052339e-03 5.052339e-03
2.600000e+03 2.800000e+03 1.836142e+00 5.497170e-03 5.497170e-03
2.800000e+03 3.000000e+03 1.870791e+00 5.888763e-03 5.888763e-03
3.000000e+03 6.500000e+03 1.933075e+00 4.373365e-03 4.373365e-03
# END HISTO1D

# BEGIN HISTO1D vvj_pTV_NNLO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 7.336053e+01 4.335493e-01 4.335493e-01
4.000000e+01 5.000000e+01 4.334264e+01 2.565270e-01 2.565270e-01
5.000000e+01 6.000000e+01 2.789981e+01 1.619812e-01 1.619812e-01
6.000000e+01 7.000000e+01 1.806300e+01 1.068340e-01 1.068340e-01
7.000000e+01 8.000000e+01 1.218536e+01 7.210311e-02 7.210311e-02
8.000000e+01 9.000000e+01 8.379642e+00 5.115123e-02 5.115123e-02
9.000000e+01 1.000000e+02 5.961879e+00 3.543828e-02 3.543828e-02
1.000000e+02 1.100000e+02 4.258076e+00 2.569011e-02 2.569011e-02
1.100000e+02 1.200000e+02 3.098998e+00 1.851204e-02 1.851204e-02
1.200000e+02 1.300000e+02 2.298731e+00 1.410326e-02 1.410326e-02
1.300000e+02 1.400000e+02 1.694649e+00 1.039969e-02 1.039969e-02
1.400000e+02 1.500000e+02 1.298496e+00 7.768434e-03 7.768434e-03
1.500000e+02 2.000000e+02 6.376753e-01 1.561816e-03 1.561816e-03
2.000000e+02 2.500000e+02 2.044415e-01 5.413897e-04 5.413897e-04
2.500000e+02 3.000000e+02 7.776761e-02 1.941777e-04 1.941777e-04
3.000000e+02 3.500000e+02 3.354000e-02 8.185554e-05 8.185554e-05
3.500000e+02 4.000000e+02 1.583990e-02 4.062065e-05 4.062065e-05
4.000000e+02 4.500000e+02 8.090634e-03 1.960876e-05 1.960876e-05
4.500000e+02 5.000000e+02 4.367986e-03 1.095581e-05 1.095581e-05
5.000000e+02 5.500000e+02 2.455881e-03 6.108931e-06 6.108931e-06
5.500000e+02 6.000000e+02 1.447637e-03 3.182986e-06 3.182986e-06
6.000000e+02 6.500000e+02 8.804646e-04 1.969080e-06 1.969080e-06
6.500000e+02 7.000000e+02 5.489924e-04 1.287293e-06 1.287293e-06
7.000000e+02 7.500000e+02 3.528387e-04 8.282441e-07 8.282441e-07
7.500000e+02 8.000000e+02 2.310007e-04 5.496972e-07 5.496972e-07
8.000000e+02 8.500000e+02 1.536316e-04 3.768557e-07 3.768557e-07
8.500000e+02 9.000000e+02 1.041069e-04 2.532482e-07 2.532482e-07
9.000000e+02 9.500000e+02 7.140212e-05 1.911408e-07 1.911408e-07
9.500000e+02 1.000000e+03 4.981415e-05 1.389159e-07 1.389159e-07
1.000000e+03 1.100000e+03 3.009173e-05 5.662624e-08 5.662624e-08
1.100000e+03 1.200000e+03 1.535008e-05 3.100281e-08 3.100281e-08
